label,x1,y1,height,width,source,file_name,analyzed_labels,taxonomy_label,target
square nut,0.0,0.0,687.0,761.0,user,44_1711593090786_square nut.png,"['square', 'nut']",quality,7
square nut,0.0,0.0,687.0,761.0,wikimedia,45_1711593090786_square nut.png,"['square', 'nut']",quality,7
utility vehicle,212.0,43.0,330.0,495.0,user,46_1711614890213_utility vehicle.png,"['utility', 'vehicle']",maintenance,3
truck,212.0,43.0,330.0,495.0,user,47_1711614890213_truck.png,['truck'],maintenance,3
cone,407.0,513.0,91.0,75.0,user,48_1711614890213_cone.png,['cone'],safety,8
cone,696.0,440.0,69.0,50.0,user,49_1711614890213_cone.png,['cone'],safety,8
cone,576.0,468.0,65.0,50.0,user,50_1711614890213_cone.png,['cone'],safety,8
jack stand,247.0,501.0,151.0,98.0,user,51_1711614890213_jack stand.png,"['jack', 'stand']",tools,10
jack stand,156.0,483.0,134.0,91.0,user,52_1711614890213_jack stand.png,"['jack', 'stand']",tools,10
jack stand,93.0,475.0,110.0,84.0,user,53_1711614890213_jack stand.png,"['jack', 'stand']",tools,10
jack stand,22.0,450.0,123.0,95.0,user,54_1711614890213_jack stand.png,"['jack', 'stand']",tools,10
scissor jack,0.0,0.0,3456.0,4608.0,wikimedia,55_1711614890213_scissor jack.png,"['scissor', 'jack']",tools,10
saw,294.0,141.0,174.0,138.0,user,56_1711586009728_saw.png,['saw'],tools,10
crane hook,534.0,0.0,397.0,165.0,user,57_1711586009728_crane hook.png,"['crane', 'hook']",tools,10
safety helmet,250.0,81.0,98.0,98.0,user,58_1711586009728_safety helmet.png,"['safety', 'helmet']",safety,8
grinder spark,0.0,0.0,1365.0,2048.0,wikimedia,59_1711586009728_grinder spark.png,"['grinder', 'spark']",tools,10
door handle,294.0,193.0,483.0,370.0,user,60_1711594869331_door handle.png,"['door', 'handle']",safety,8
door lock,0.0,0.0,2448.0,3264.0,wikimedia,61_1711594869331_door lock.png,"['door', 'lock']",safety,8
windmill,299.0,36.0,410.0,350.0,user,62_1711608525685_windmill.png,['windmill'],machines,2
from woltersum,0.0,0.0,800.0,1200.0,wikimedia,63_1711608525685_from woltersum.png,"['from', 'woltersum']",safety,8
foundry,0.0,0.0,800.0,604.0,user,64_1711554342787_foundry.png,['foundry'],processes,6
steel foundry,0.0,0.0,800.0,604.0,user,65_1711554342787_steel foundry.png,"['steel', 'foundry']",materials,4
ladle metallurgy,0.0,0.0,800.0,604.0,wikimedia,66_1711554342787_ladle metallurgy.png,"['ladle', 'metallurgy']",materials,4
hand sander,0.0,0.0,483.0,639.0,user,67_1711579131430_hand sander.png,"['hand', 'sander']",machines,2
random orbital sander,0.0,0.0,1232.0,1632.0,wikimedia,68_1711579131430_random orbital sander.png,"['random', 'orbital', 'sander']",processes,6
angle grinder,0.0,0.0,603.0,907.0,user,69_1711585889521_angle grinder.png,"['angle', 'grinder']",tools,10
grinder,0.0,0.0,603.0,907.0,user,70_1711585889521_grinder.png,['grinder'],tools,10
angle grinder,0.0,0.0,2823.0,4244.0,wikimedia,71_1711585889521_angle grinder.png,"['angle', 'grinder']",tools,10
rope,302.0,759.0,335.0,207.0,user,72_1711573449704_rope.png,['rope'],materials,4
timber framing with metal connector,0.0,0.0,6256.0,4175.0,wikimedia,73_1711573449704_timber framing with metal connector.png,"['timber', 'framing', 'with', 'metal', 'connector']",materials,4
light bulb,0.0,0.0,601.0,907.0,user,74_1711603884313_light bulb.png,"['light', 'bulb']",quality,7
halogen light bulb,0.0,0.0,601.0,907.0,user,75_1711603884313_halogen light bulb.png,"['halogen', 'light', 'bulb']",electrical,0
incandescent light bulb,0.0,0.0,601.0,907.0,user,76_1711603884313_incandescent light bulb.png,"['incandescent', 'light', 'bulb']",electrical,0
halogen light bulb with prison screw,0.0,0.0,3264.0,4928.0,wikimedia,77_1711603884313_halogen light bulb with prison screw.png,"['halogen', 'light', 'bulb', 'with', 'prison', 'screw']",electrical,0
bolt,0.0,0.0,603.0,907.0,user,78_1711592924337_bolt.png,['bolt'],fasteners,1
machine screw,0.0,0.0,2564.0,3860.0,wikimedia,79_1711592924337_machine screw.png,"['machine', 'screw']",machines,2
key,379.0,286.0,135.0,63.0,user,80_1711606633617_key.png,['key'],quality,7
key of gibraltar,0.0,0.0,2832.0,4256.0,wikimedia,81_1711606633617_key of gibraltar.png,"['key', 'of', 'gibraltar']",quality,7
gage block,0.0,0.0,510.0,907.0,user,82_1711576102123_gage block.png,"['gage', 'block']",quality,7
gauge block,0.0,0.0,510.0,907.0,user,83_1711576102123_gauge block.png,"['gauge', 'block']",quality,7
cutting tool,0.0,0.0,2322.0,4128.0,wikimedia,84_1711576102123_cutting tool.png,"['cutting', 'tool']",processes,6
grinder,0.0,0.0,1210.0,907.0,user,85_1711617168512_grinder.png,['grinder'],tools,10
portable hand coffee mill,0.0,0.0,3343.0,2507.0,wikimedia,86_1711617168512_portable hand coffee mill.png,"['portable', 'hand', 'coffee', 'mill']",machines,2
hand tool,0.0,0.0,683.0,907.0,user,87_1711599800132_hand tool.png,"['hand', 'tool']",machines,2
outside caliper,599.0,0.0,217.0,255.0,user,88_1711599800132_outside caliper.png,"['outside', 'caliper']",safety,8
hand drill,402.0,60.0,332.0,187.0,user,89_1711599800132_hand drill.png,"['hand', 'drill']",machines,2
hand chisel,246.0,213.0,194.0,154.0,user,90_1711599800132_hand chisel.png,"['hand', 'chisel']",machines,2
hack saw,39.0,52.0,315.0,228.0,user,91_1711599800132_hack saw.png,"['hack', 'saw']",tools,10
c clamp,48.0,386.0,96.0,93.0,user,92_1711599800132_c clamp.png,"['c', 'clamp']",machines,2
mallet,230.0,403.0,115.0,53.0,user,93_1711599800132_mallet.png,['mallet'],tools,10
try square,0.0,0.0,1952.0,2592.0,wikimedia,94_1711599800132_try square.png,"['try', 'square']",safety,8
machine,0.0,0.0,640.0,499.0,user,95_1711569127251_machine.png,['machine'],machines,2
industrial machine,0.0,0.0,640.0,499.0,user,96_1711569127251_industrial machine.png,"['industrial', 'machine']",materials,4
mixer,0.0,0.0,640.0,499.0,user,97_1711569127251_mixer.png,['mixer'],machines,2
vertical mixer,0.0,0.0,640.0,499.0,user,98_1711569127251_vertical mixer.png,"['vertical', 'mixer']",electrical,0
heavyduty mixer,0.0,0.0,640.0,499.0,user,99_1711569127251_heavyduty mixer.png,"['heavyduty', 'mixer']",machines,2
mixing equipment,0.0,0.0,640.0,499.0,user,100_1711569127251_mixing equipment.png,"['mixing', 'equipment']",processes,6
material mixer,0.0,0.0,640.0,499.0,user,101_1711569127251_material mixer.png,"['material', 'mixer']",materials,4
industrial processor,0.0,0.0,640.0,499.0,user,102_1711569127251_industrial processor.png,"['industrial', 'processor']",materials,4
batch mixer,0.0,0.0,640.0,499.0,user,103_1711569127251_batch mixer.png,"['batch', 'mixer']",materials,4
mechanical mixer,0.0,0.0,640.0,499.0,user,104_1711569127251_mechanical mixer.png,"['mechanical', 'mixer']",electrical,0
casting machine,0.0,0.0,640.0,499.0,wikimedia,105_1711569127251_casting machine.png,"['casting', 'machine']",processes,6
drill bit,0.0,0.0,437.0,655.0,user,106_1711597205731_drill bit.png,"['drill', 'bit']",machines,2
drill bit in germany,0.0,0.0,4912.0,7360.0,wikimedia,107_1711597205731_drill bit in germany.png,"['drill', 'bit', 'in', 'germany']",machines,2
key,10.0,224.0,258.0,848.0,user,108_1711606617289_key.png,['key'],quality,7
chamberlain key,0.0,0.0,1444.0,1972.0,wikimedia,109_1711606617289_chamberlain key.png,"['chamberlain', 'key']",quality,7
whiteout dispenser,101.0,75.0,1012.0,574.0,user,110_1711593473476_whiteout dispenser.png,"['whiteout', 'dispenser']",specialized,9
correction tape,0.0,0.0,1136.0,756.0,wikimedia,111_1711593473476_correction tape.png,"['correction', 'tape']",quality,7
saw,78.0,431.0,502.0,634.0,user,112_1711587895202_saw.png,['saw'],tools,10
circular saw,78.0,431.0,502.0,634.0,user,113_1711587895202_circular saw.png,"['circular', 'saw']",tools,10
cold saw,78.0,431.0,502.0,634.0,user,114_1711587895202_cold saw.png,"['cold', 'saw']",quality,7
concrete saw,78.0,431.0,502.0,634.0,user,115_1711587895202_concrete saw.png,"['concrete', 'saw']",materials,4
husqvarna circular saw,78.0,431.0,502.0,634.0,user,116_1711587895202_husqvarna circular saw.png,"['husqvarna', 'circular', 'saw']",tools,10
husqvarna concrete saw,78.0,431.0,502.0,634.0,user,117_1711587895202_husqvarna concrete saw.png,"['husqvarna', 'concrete', 'saw']",materials,4
husqvarna cold saw,78.0,431.0,502.0,634.0,user,118_1711587895202_husqvarna cold saw.png,"['husqvarna', 'cold', 'saw']",quality,7
helmet,706.0,19.0,259.0,185.0,user,119_1711587895202_helmet.png,['helmet'],safety,8
ear protector,0.0,0.0,1197.0,907.0,user,120_1711587895202_ear protector.png,"['ear', 'protector']",electrical,0
masonry saw,0.0,0.0,4305.0,3264.0,wikimedia,121_1711587895202_masonry saw.png,"['masonry', 'saw']",materials,4
robotic big welder,0.0,0.0,605.0,907.0,user,122_1711576969256_robotic big welder.png,"['robotic', 'big', 'welder']",maintenance,3
ga tungsten arc welding,0.0,0.0,2304.0,3456.0,wikimedia,123_1711576969256_ga tungsten arc welding.png,"['ga', 'tungsten', 'arc', 'welding']",quality,7
bell,0.0,0.0,1188.0,891.0,user,124_1711580742206_bell.png,['bell'],machines,2
steel bell,0.0,0.0,3096.0,4128.0,wikimedia,125_1711580742206_steel bell.png,"['steel', 'bell']",materials,4
grinding disc,0.0,0.0,487.0,891.0,user,126_1711569845521_grinding disc.png,"['grinding', 'disc']",processes,6
angle grinder disc,0.0,0.0,2184.0,4000.0,wikimedia,127_1711569845521_angle grinder disc.png,"['angle', 'grinder', 'disc']",tools,10
milwaukee noncontact voltage detector,0.0,0.0,668.0,891.0,user,128_1711586237463_milwaukee noncontact voltage detector.png,"['milwaukee', 'noncontact', 'voltage', 'detector']",electrical,0
noncontact voltage detector,0.0,0.0,668.0,891.0,user,129_1711586237463_noncontact voltage detector.png,"['noncontact', 'voltage', 'detector']",electrical,0
voltage detector,0.0,0.0,668.0,891.0,user,130_1711586237463_voltage detector.png,"['voltage', 'detector']",electrical,0
wireles voltage probe,0.0,0.0,2736.0,3648.0,wikimedia,131_1711586237463_wireles voltage probe.png,"['wireles', 'voltage', 'probe']",electrical,0
welding torch,0.0,0.0,1024.0,768.0,user,132_1711568896158_welding torch.png,"['welding', 'torch']",processes,6
welding goggle,0.0,0.0,1024.0,768.0,user,133_1711568896158_welding goggle.png,"['welding', 'goggle']",processes,6
welder,0.0,0.0,1024.0,768.0,wikimedia,134_1711568896158_welder.png,['welder'],maintenance,3
railroad snow blower,0.0,0.0,649.0,891.0,user,135_1711622483259_railroad snow blower.png,"['railroad', 'snow', 'blower']",materials,4
snow blower,0.0,0.0,649.0,891.0,user,136_1711622483259_snow blower.png,"['snow', 'blower']",machines,2
railway snow thrower,0.0,0.0,800.0,1099.0,wikimedia,137_1711622483259_railway snow thrower.png,"['railway', 'snow', 'thrower']",materials,4
screw,0.0,0.0,288.0,507.0,user,138_1711581616499_screw.png,['screw'],fasteners,1
screw,0.0,0.0,288.0,507.0,wikimedia,139_1711581616499_screw.png,['screw'],fasteners,1
cutting pliers,0.0,0.0,605.0,907.0,user,140_1711611679103_cutting pliers.png,"['cutting', 'pliers']",processes,6
diagonal cutting pliers,0.0,0.0,605.0,907.0,user,141_1711611679103_diagonal cutting pliers.png,"['diagonal', 'cutting', 'pliers']",processes,6
knife reinforce diagonal wire cutter,0.0,0.0,3456.0,5184.0,wikimedia,142_1711611679103_knife reinforce diagonal wire cutter.png,"['knife', 'reinforce', 'diagonal', 'wire', 'cutter']",tools,10
mortar and pestle,0.0,0.0,593.0,891.0,user,143_1711608231773_mortar and pestle.png,"['mortar', 'and', 'pestle']",machines,2
marble mortar and pestle,0.0,0.0,2311.0,3471.0,wikimedia,144_1711608231773_marble mortar and pestle.png,"['marble', 'mortar', 'and', 'pestle']",materials,4
angle grinder,63.0,23.0,488.0,525.0,user,145_1711569846804_angle grinder.png,"['angle', 'grinder']",tools,10
sander,63.0,23.0,488.0,525.0,user,146_1711569846804_sander.png,['sander'],tools,10
angle grinder disc,0.0,0.0,2756.0,3356.0,wikimedia,147_1711569846804_angle grinder disc.png,"['angle', 'grinder', 'disc']",tools,10
railroad track,118.0,53.0,535.0,708.0,user,148_1711572034703_railroad track.png,"['railroad', 'track']",materials,4
rail fastening system,118.0,53.0,535.0,708.0,user,149_1711572034703_rail fastening system.png,"['rail', 'fastening', 'system']",materials,4
rail joint,118.0,53.0,535.0,708.0,user,150_1711572034703_rail joint.png,"['rail', 'joint']",materials,4
rail welding,118.0,53.0,535.0,708.0,user,151_1711572034703_rail welding.png,"['rail', 'welding']",materials,4
track maintenance,118.0,53.0,535.0,708.0,user,152_1711572034703_track maintenance.png,"['track', 'maintenance']",materials,4
railway infrastructure,118.0,53.0,535.0,708.0,user,153_1711572034703_railway infrastructure.png,"['railway', 'infrastructure']",materials,4
metal rail,118.0,53.0,535.0,708.0,user,154_1711572034703_metal rail.png,"['metal', 'rail']",materials,4
track hardware,118.0,53.0,535.0,708.0,user,155_1711572034703_track hardware.png,"['track', 'hardware']",materials,4
rail fastening,0.0,0.0,3096.0,4128.0,wikimedia,156_1711572034703_rail fastening.png,"['rail', 'fastening']",materials,4
carabiner clip,0.0,0.0,729.0,891.0,user,157_1711581557009_carabiner clip.png,"['carabiner', 'clip']",tools,10
clip,0.0,0.0,729.0,891.0,user,158_1711581557009_clip.png,['clip'],tools,10
carabiner clip with screw lock,291.0,344.0,375.0,527.0,user,159_1711581557009_carabiner clip with screw lock.png,"['carabiner', 'clip', 'with', 'screw', 'lock']",tools,10
crewmate carabiner,0.0,0.0,1412.0,1726.0,wikimedia,160_1711581557009_crewmate carabiner.png,"['crewmate', 'carabiner']",maintenance,3
hammer,556.0,580.0,63.0,97.0,user,161_1711570269818_hammer.png,['hammer'],tools,10
scythe sharpening and honing,0.0,0.0,1011.0,1022.0,wikimedia,162_1711570269818_scythe sharpening and honing.png,"['scythe', 'sharpening', 'and', 'honing']",tools,10
lathe,233.0,404.0,440.0,261.0,user,163_1711573922069_lathe.png,['lathe'],machines,2
lathe,597.0,756.0,313.0,203.0,user,164_1711573922069_lathe.png,['lathe'],machines,2
lathe operator,0.0,0.0,3754.0,2770.0,wikimedia,165_1711573922069_lathe operator.png,"['lathe', 'operator']",machines,2
knife,0.0,0.0,586.0,781.0,user,166_1711583817594_knife.png,['knife'],tools,10
handbook,0.0,0.0,586.0,781.0,user,167_1711583817594_handbook.png,['handbook'],miscellaneous,5
interlock,0.0,0.0,768.0,1024.0,wikimedia,168_1711583817594_interlock.png,['interlock'],safety,8
oscilloscope,116.0,54.0,177.0,293.0,user,169_1711579536410_oscilloscope.png,['oscilloscope'],quality,7
power supply,0.0,113.0,344.0,212.0,user,170_1711579536410_power supply.png,"['power', 'supply']",electrical,0
voltage supply,0.0,113.0,344.0,212.0,user,171_1711579536410_voltage supply.png,"['voltage', 'supply']",electrical,0
voltmeter,419.0,158.0,128.0,173.0,user,172_1711579536410_voltmeter.png,['voltmeter'],quality,7
breadboard,0.0,0.0,464.0,624.0,user,173_1711579536410_breadboard.png,['breadboard'],specialized,9
circuit,0.0,0.0,464.0,624.0,user,174_1711579536410_circuit.png,['circuit'],electrical,0
circuit on breadboard,0.0,0.0,464.0,624.0,user,175_1711579536410_circuit on breadboard.png,"['circuit', 'on', 'breadboard']",electrical,0
electronic workbench,0.0,0.0,464.0,624.0,wikimedia,176_1711579536410_electronic workbench.png,"['electronic', 'workbench']",machines,2
hand clamp,14.0,184.0,621.0,792.0,user,177_1711553426281_hand clamp.png,"['hand', 'clamp']",machines,2
jeweller making,0.0,0.0,3029.0,3355.0,wikimedia,178_1711553426281_jeweller making.png,"['jeweller', 'making']",maintenance,3
screw driver,0.0,0.0,1210.0,907.0,user,179_1711614763314_screw driver.png,"['screw', 'driver']",fasteners,1
minu driver,0.0,0.0,1210.0,907.0,user,180_1711614763314_minu driver.png,"['minu', 'driver']",safety,8
screwdriver,0.0,0.0,1210.0,907.0,user,181_1711614763314_screwdriver.png,['screwdriver'],fasteners,1
what electric insulated screwdriver,0.0,0.0,1512.0,2016.0,wikimedia,182_1711614763314_what electric insulated screwdriver.png,"['what', 'electric', 'insulated', 'screwdriver']",quality,7
welder,0.0,0.0,552.0,320.0,user,183_1711569003266_welder.png,['welder'],maintenance,3
welder,0.0,0.0,552.0,320.0,wikimedia,184_1711569003266_welder.png,['welder'],maintenance,3
putzmeister solid pump system,19.0,71.0,451.0,774.0,user,185_1711622396778_putzmeister solid pump system.png,"['putzmeister', 'solid', 'pump', 'system']",quality,7
pump system,19.0,71.0,451.0,774.0,user,186_1711622396778_pump system.png,"['pump', 'system']",machines,2
archimede screw pump,0.0,0.0,2448.0,3264.0,wikimedia,187_1711622396778_archimede screw pump.png,"['archimede', 'screw', 'pump']",fasteners,1
saw blade,298.0,259.0,240.0,148.0,user,188_1711587628172_saw blade.png,"['saw', 'blade']",tools,10
circular saw,0.0,0.0,3744.0,5616.0,wikimedia,189_1711587628172_circular saw.png,"['circular', 'saw']",tools,10
crawler mounted drilling rig,363.0,0.0,342.0,123.0,user,190_1711597006753_crawler mounted drilling rig.png,"['crawler', 'mounted', 'drilling', 'rig']",machines,2
excavator,0.0,210.0,149.0,85.0,user,191_1711597006753_excavator.png,['excavator'],specialized,9
liebherr la,0.0,0.0,4480.0,6720.0,wikimedia,192_1711597006753_liebherr la.png,"['liebherr', 'la']",machines,2
hook,0.0,0.0,577.0,197.0,user,193_1711583222180_hook.png,['hook'],fasteners,1
fish hook,0.0,0.0,577.0,197.0,user,194_1711583222180_fish hook.png,"['fish', 'hook']",quality,7
fishing hook,0.0,0.0,577.0,197.0,wikimedia,195_1711583222180_fishing hook.png,"['fishing', 'hook']",safety,8
dy,0.0,0.0,639.0,907.0,user,196_1711571063622_dy.png,['dy'],specialized,9
thread dy,0.0,0.0,639.0,907.0,user,197_1711571063622_thread dy.png,"['thread', 'dy']",maintenance,3
dy threading,0.0,0.0,1025.0,1455.0,wikimedia,198_1711571063622_dy threading.png,"['dy', 'threading']",specialized,9
train,3.0,205.0,277.0,787.0,user,199_1711601825929_train.png,['train'],maintenance,3
coil steel car of the united state,0.0,0.0,3168.0,4752.0,wikimedia,200_1711601825929_coil steel car of the united state.png,"['coil', 'steel', 'car', 'of', 'the', 'united', 'state']",electrical,0
flat head screwdriver,370.0,330.0,199.0,50.0,user,201_1711593338849_flat head screwdriver.png,"['flat', 'head', 'screwdriver']",quality,7
screwdriver,0.0,0.0,3648.0,5472.0,wikimedia,202_1711593338849_screwdriver.png,['screwdriver'],fasteners,1
colored pencil,0.0,0.0,567.0,891.0,user,203_1711579155849_colored pencil.png,"['colored', 'pencil']",materials,4
pencil sharpener,362.0,113.0,176.0,306.0,user,204_1711579155849_pencil sharpener.png,"['pencil', 'sharpener']",electrical,0
blade,437.0,189.0,70.0,210.0,user,205_1711579155849_blade.png,['blade'],tools,10
screw head,522.0,205.0,50.0,50.0,user,206_1711579155849_screw head.png,"['screw', 'head']",fasteners,1
chili screw head,522.0,205.0,50.0,50.0,user,207_1711579155849_chili screw head.png,"['chili', 'screw', 'head']",fasteners,1
pencil sharpener,0.0,0.0,2341.0,3681.0,wikimedia,208_1711579155849_pencil sharpener.png,"['pencil', 'sharpener']",electrical,0
surface grinder,0.0,0.0,707.0,891.0,user,209_1711574751232_surface grinder.png,"['surface', 'grinder']",materials,4
grinder,0.0,0.0,1383.0,1743.0,wikimedia,210_1711574751232_grinder.png,['grinder'],tools,10
knife,0.0,0.0,460.0,907.0,user,211_1711573389315_knife.png,['knife'],tools,10
metal knife,0.0,0.0,460.0,907.0,user,212_1711573389315_metal knife.png,"['metal', 'knife']",materials,4
tie clip,0.0,0.0,830.0,1637.0,wikimedia,213_1711573389315_tie clip.png,"['tie', 'clip']",tools,10
industrial robot,413.0,136.0,532.0,478.0,user,214_1711554124399_industrial robot.png,"['industrial', 'robot']",materials,4
clinching,0.0,0.0,960.0,1280.0,wikimedia,215_1711554124399_clinching.png,['clinching'],processes,6
printing machine,113.0,69.0,389.0,676.0,user,216_1711601478723_printing machine.png,"['printing', 'machine']",processes,6
printing press,0.0,0.0,595.0,800.0,wikimedia,217_1711601478723_printing press.png,"['printing', 'press']",processes,6
handbook,27.0,50.0,421.0,878.0,user,218_1711611461854_handbook.png,['handbook'],miscellaneous,5
chisel,27.0,50.0,421.0,878.0,user,219_1711611461854_chisel.png,['chisel'],tools,10
firmer chisel,0.0,0.0,2736.0,3648.0,wikimedia,220_1711611461854_firmer chisel.png,"['firmer', 'chisel']",tools,10
bench vice grip,116.0,229.0,347.0,415.0,user,221_1711598383439_bench vice grip.png,"['bench', 'vice', 'grip']",maintenance,3
bench vice trip,531.0,96.0,219.0,240.0,user,222_1711598383439_bench vice trip.png,"['bench', 'vice', 'trip']",maintenance,3
machine tool in armlet mill industrial museum,0.0,0.0,2448.0,3264.0,wikimedia,223_1711598383439_machine tool in armlet mill industrial museum.png,"['machine', 'tool', 'in', 'armlet', 'mill', 'industrial', 'museum']",machines,2
welding torch,0.0,0.0,680.0,907.0,user,224_1711576988168_welding torch.png,"['welding', 'torch']",processes,6
ga tungsten arc welding,0.0,0.0,1728.0,2304.0,wikimedia,225_1711576988168_ga tungsten arc welding.png,"['ga', 'tungsten', 'arc', 'welding']",quality,7
pres,6.0,31.0,619.0,901.0,user,226_1711601177092_pres.png,['pres'],machines,2
imprinting pres,6.0,31.0,619.0,901.0,user,227_1711601177092_imprinting pres.png,"['imprinting', 'pres']",processes,6
stamping pres,6.0,31.0,619.0,901.0,user,228_1711601177092_stamping pres.png,"['stamping', 'pres']",processes,6
host press,0.0,0.0,1728.0,2304.0,wikimedia,229_1711601177092_host press.png,"['host', 'press']",machines,2
ceramic mold,0.0,0.0,1362.0,907.0,user,230_1711580297182_ceramic mold.png,"['ceramic', 'mold']",materials,4
chainsaw,264.0,290.0,247.0,319.0,user,231_1711599003894_chainsaw.png,['chainsaw'],machines,2
person using chainsaw,0.0,0.0,2848.0,4288.0,wikimedia,232_1711599003894_person using chainsaw.png,"['person', 'using', 'chainsaw']",quality,7
drill,530.0,34.0,338.0,306.0,user,233_1711597555984_drill.png,['drill'],machines,2
electric drill,530.0,34.0,338.0,306.0,user,234_1711597555984_electric drill.png,"['electric', 'drill']",electrical,0
corded electric drill,0.0,0.0,3456.0,4608.0,wikimedia,235_1711597555984_corded electric drill.png,"['corded', 'electric', 'drill']",electrical,0
crawler mounted drilling rig,23.0,0.0,570.0,814.0,user,236_1711596908289_crawler mounted drilling rig.png,"['crawler', 'mounted', 'drilling', 'rig']",machines,2
